iter	Passed	Remaining
0	57	57785
1	58	28998
2	58	19407
3	58	14610
4	58	11729
5	59	9813
6	59	8438
7	59	7406
8	59	6602
9	60	5961
10	60	5441
11	60	5006
12	61	4640
13	61	4320
14	61	4048
15	61	3805
16	62	3592
17	62	3402
18	62	3232
19	62	3083
20	63	2945
21	63	2820
22	63	2705
23	63	2599
24	64	2502
25	64	2412
26	64	2328
27	64	2253
28	65	2183
29	65	2118
30	65	2055
31	66	1996
32	66	1941
33	66	1889
34	66	1840
35	66	1793
36	67	1749
37	67	1708
38	67	1668
39	67	1630
40	68	1595
41	68	1561
42	68	1529
43	68	1497
44	69	1467
45	69	1438
46	69	1411
47	69	1385
48	70	1359
49	70	1335
50	70	1312
51	70	1289
52	70	1268
53	71	1247
54	71	1228
55	71	1209
56	71	1190
57	72	1172
58	72	1155
59	72	1139
60	72	1122
61	73	1107
62	73	1091
63	73	1077
64	73	1062
65	74	1049
66	74	1035
67	74	1022
68	74	1009
69	75	996
70	75	984
71	75	973
72	75	961
73	75	950
74	76	939
75	76	928
76	76	918
77	76	908
78	77	898
79	77	888
80	77	878
81	77	869
82	77	859
83	77	850
84	78	841
85	78	834
86	78	826
87	78	818
88	79	810
89	79	802
90	79	794
91	79	787
92	80	780
93	80	773
94	80	766
95	80	759
96	80	753
97	81	746
98	81	740
99	81	734
100	81	728
101	82	722
102	82	716
103	82	711
104	82	705
105	82	699
106	83	694
107	83	689
108	83	683
109	83	678
110	84	673
111	84	668
112	84	663
113	84	658
114	85	654
115	85	649
116	85	644
117	85	640
118	85	635
119	86	631
120	86	627
121	86	622
122	86	618
123	86	614
124	87	609
125	87	605
126	87	601
127	87	597
128	87	593
129	88	590
130	88	586
131	88	582
132	88	579
133	89	575
134	89	572
135	89	568
136	89	565
137	89	561
138	90	558
139	90	555
140	90	552
141	90	548
142	90	544
143	91	541
144	91	538
145	91	535
146	91	532
147	91	529
148	92	526
149	92	523
150	92	520
151	92	517
152	93	514
153	93	512
154	93	509
155	93	506
156	93	504
157	94	501
158	94	498
159	94	496
160	94	493
161	94	490
162	95	488
163	95	485
164	95	483
165	95	480
166	95	478
167	96	476
168	96	473
169	96	471
170	96	469
171	97	467
172	97	464
173	97	462
174	97	460
175	97	458
176	98	456
177	98	454
178	98	452
179	98	450
180	99	448
181	99	446
182	99	444
183	99	442
184	99	440
185	100	438
186	100	436
187	100	434
188	100	432
189	101	430
190	101	428
191	101	426
192	101	424
193	101	423
194	102	421
195	102	419
196	102	417
197	102	416
198	102	414
199	103	412
200	103	410
201	103	409
202	103	407
203	104	405
204	104	404
205	104	402
206	104	401
207	104	399
208	105	397
209	105	396
210	105	394
211	105	393
212	105	391
213	106	390
214	106	388
215	106	386
